Id,Report Date / Time,Concrete Temp.,Day of Gales,Soil Temp. (at 10cm),Wet Bulb,Soil Temp. (at 30cm),Max. Temp. (last 24hr),Total Cloud Cover,Wind Gust,Day of Hail,Wind Gust Direction,Present Weather,Ground State,Soil Temp. (at 100cm),Grass Temp.,Sunshine,Day of Snow,Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity ,Weather Diary,Rainfall Accumulation,Visibility,Min. Temp. (last 24hr),Wind Direction,Wind Speed,Air Temperature,Snow Depth,Soil Moisture,Dew Point,Day of Thunder,Rainfall Rate,Flood Impacts,Wind Impacts,Coastal Impacts,Wild Fire Impacts,Land Slide Impacts,Poor Visibility Impacts,Snow Impacts,Ice Impacts,Lightning Impacts,Other Impacts
518feffb-eefd-e711-90cd-0003ff5993a0,15/01/2018 18:52,,,,,,,,1.4,,,,,,,,,994.2,984.3,79,,0,,, 180 ,0.7,6.5,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,15/01/2018 19:52,,,,,,,,1,,,,,,,,,994.1,984.2,78,,0,,, 210 ,0.7,6,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,15/01/2018 20:52,,,,,,,,1.4,,,,,,,,,994.2,984.3,82,,0.3,,, 150 ,1,5.8,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,15/01/2018 21:52,,,,,,,,1.7,,,,,,,,,993.9,984,82,,0,,, 120 ,1.4,5.4,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,15/01/2018 22:52,,,,,,,,3.1,,,,,,,,,993.9,984,82,,0,,, 150 ,1.7,5.7,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,15/01/2018 23:52,,,,,,,,4.1,,,,,,,,,993.6,983.7,80,,0,,, 180 ,2,5.7,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,16/01/2018 00:52,,,,,,,,3.1,,,,,,,,,993.4,983.5,82,,0,,, 135 ,1.7,5.8,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,16/01/2018 01:52,,,,,,,,2.7,,,,,,,,,992.8,982.9,82,,0,,, 180 ,1.4,5.8,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,16/01/2018 02:52,,,,,,,,1.7,,,,,,,,,992.4,982.5,80,,0.3,,, 150 ,1,5.8,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,16/01/2018 03:52,,,,,,,,2.7,,,,,,,,,992.5,982.6,82,,0,,, 150 ,1.4,5.2,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,16/01/2018 04:52,,,,,,,,1.4,,,,,,,,,992.7,982.8,79,,0,,, 150 ,0.7,4.6,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,16/01/2018 05:52,,,,,,,,5.8,,,,,,,,,993.3,983.4,79,,0.3,,, 195 ,3.1,4.6,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,16/01/2018 06:52,,,,,,,,2.7,,,,,,,,,993.7,983.8,86,,0,,, 150 ,2,3.8,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,16/01/2018 07:52,,,,,,,,2.4,,,,,,,,,994.2,984.3,72,,0,,, 180 ,1,4.5,,,,,,,,,,,,,,,
518feffb-eefd-e711-90cd-0003ff5993a0,16/01/2018 08:52,,,,,,,,3.1,,,,,,,,,995.2,985.3,67,,0,,, 150 ,1.4,4.5,,,,,,,,,,,,,,,
